Year,Country.Name,Country.Code,Country.GDP,Country.Population,Emissions.Production.CH4,Emissions.Production.N2O,Emissions.Production.CO2.Cement,Emissions.Production.CO2.Coal,Emissions.Production.CO2.Gas,Emissions.Production.CO2.Oil,Emissions.Production.CO2.Flaring,Emissions.Production.CO2.Other,Emissions.Production.CO2.Total,Emissions.Global Share.CO2.Cement,Emissions.Global Share.CO2.Coal,Emissions.Global Share.CO2.Gas,Emissions.Global Share.CO2.Oil,Emissions.Global Share.CO2.Flaring,Emissions.Global Share.CO2.Total
2018,Denmark,DNK,2.68318E+11,5752131,7.95,4.88,1.16,6.359,6.476,20.042,0.232,0.403,34.672,0.07,0.04,0.09,0.16,0.06,0.09
1992,Ecuador,ECU,70873808896,10716131,19.3,3.97,1.016,0,0.465,19.138,1.341,0,21.96,0.19,0,0.01,0.21,0.57,0.1
1993,Ecuador,ECU,72804343808,10961460,20.6,4.1,0.947,0,0.535,21.119,1.488,0,24.089,0.17,0,0.01,0.23,0.64,0.11
1994,Ecuador,ECU,76428115968,11207999,21.9,4.21,0.976,0,0.484,10.648,1.433,0,13.54,0.16,0,0.01,0.12,0.6,0.06
1995,Ecuador,ECU,78692040704,11455205,22.2,4.28,1.179,0,0.465,19.558,1.484,0,22.686,0.19,0,0.01,0.21,0.63,0.1
1996,Ecuador,ECU,80612106240,11703169,22.9,4.55,1.363,0,0.495,20.863,1.304,0,24.025,0.21,0,0.01,0.22,0.55,0.1
1997,Ecuador,ECU,84682932224,11951457,23.4,4.91,1.304,0,0.451,15.253,1.198,0,18.206,0.2,0,0.01,0.16,0.49,0.07
1998,Ecuador,ECU,88055963648,12198449,22.4,4.72,1.169,0,0.462,19.28,1.403,0,22.313,0.18,0,0.01,0.2,0.61,0.09
1999,Ecuador,ECU,84464762880,12442109,22.7,4.37,1.033,0,0.432,18.478,1.422,0,21.364,0.15,0,0.01,0.18,0.63,0.09
2000,Ecuador,ECU,85978873856,12681123,21.84,4.1,1.256,0,0.473,17.324,1.509,0,20.562,0.18,0,0.01,0.17,0.56,0.08
2001,Ecuador,ECU,90060685312,12914660,23.52,5.35,1.297,0,0.48,19.647,1.517,0,22.94,0.17,0,0.01,0.19,0.56,0.09
2002,Ecuador,ECU,94405017600,13143465,23.74,4.84,1.318,0,0.476,21.233,1.726,0,24.753,0.17,0,0.01,0.2,0.6,0.1
2003,Ecuador,ECU,97644568576,13369678,24.46,4.77,1.348,0,0.931,22.871,1.597,0,26.747,0.16,0,0.02,0.21,0.55,0.1
2004,Ecuador,ECU,1.06398E+11,13596390,26.74,4.98,1.493,0,1.136,24.659,1.499,0,28.786,0.16,0,0.02,0.22,0.48,0.1
2005,Ecuador,ECU,1.12807E+11,13825839,26.65,4.78,1.57,0,0.894,26.007,1.499,0,29.97,0.16,0,0.02,0.23,0.45,0.1
2006,Ecuador,ECU,1.18595E+11,14059379,27.1,4.87,1.737,0,0.762,24.915,1.48,0.001,28.895,0.17,0,0.01,0.22,0.44,0.09
2007,Ecuador,ECU,1.22035E+11,14296554,26.5,4.6,1.834,0,1.022,29.312,1.517,0.001,33.686,0.16,0,0.02,0.26,0.44,0.11
2008,Ecuador,ECU,1.30681E+11,14535740,26.76,4.98,2.222,0,0.931,24.915,1.506,0,29.573,0.2,0,0.02,0.22,0.42,0.09
2009,Ecuador,ECU,1.32344E+11,14774412,27.18,5.22,2.11,0,1.099,27.975,1.319,0,32.503,0.18,0,0.02,0.25,0.36,0.1
2010,Ecuador,ECU,1.37955E+11,15011114,27.69,5.5,2.088,0,1.158,30.335,1.246,0,34.826,0.17,0,0.02,0.27,0.34,0.1
2011,Ecuador,ECU,1.49848E+11,15243885,27.87,5.57,2.239,0,1.048,32.877,1.235,0,37.398,0.17,0,0.02,0.29,0.35,0.11
2012,Ecuador,ECU,1.58296E+11,15474099,27.84,5.45,2.353,0,1.4,32.152,1.249,0,37.154,0.17,0,0.02,0.28,0.34,0.11
2013,Ecuador,ECU,1.66128E+11,15707473,28.27,5.4,2.612,0,1.59,33.962,1.198,0,39.362,0.18,0,0.02,0.29,0.32,0.11
2014,Ecuador,ECU,1.72762E+11,15951832,27.83,5.33,2.602,0,1.63,37.611,1.363,0.001,43.207,0.17,0,0.02,0.32,0.36,0.12
2015,Ecuador,ECU,1.73045E+11,16212022,27.06,4.86,2.445,0,1.535,35.442,1.337,0,40.759,0.17,0,0.02,0.3,0.36,0.11
2016,Ecuador,ECU,1.69282E+11,16491115,27.32,4.95,2.208,0,1.656,34.295,1.345,0,39.504,0.15,0,0.02,0.29,0.35,0.11
2017,Ecuador,ECU,1.73291E+11,16785356,27.15,5.02,2.248,0,1.539,34.288,1.202,0,39.276,0.15,0,0.02,0.28,0.28,0.11
2018,Ecuador,ECU,1.75525E+11,17084360,26.55,5.14,2.287,0,1.403,32.983,1.246,0,37.919,0.15,0,0.02,0.27,0.3,0.1
1992,Egypt,EGY,2.54191E+11,58666812,35.74,13.5,8.1,2.59,16.118,53.132,0,0,79.94,1.52,0.03,0.41,0.58,0,0.35
1993,Egypt,EGY,2.69985E+11,59880656,38.64,14.48,7.596,3.415,18.511,62.757,0,0,92.278,1.37,0.04,0.45,0.68,0,0.4
1994,Egypt,EGY,2.86216E+11,61095804,40.49,13.82,7.615,3.693,20.158,53.089,0,0.001,84.556,1.29,0.04,0.49,0.57,0,0.37
1995,Egypt,EGY,3.05979E+11,62334024,42.51,15.73,8.325,2.451,26.011,58.104,0,0,94.89,1.33,0.03,0.62,0.62,0,0.4
1996,Egypt,EGY,3.28669E+11,63601632,44.42,16.41,8.78,3.43,27.707,53.652,0,0,93.569,1.37,0.04,0.63,0.56,0,0.39
1997,Egypt,EGY,3.54474E+11,64892268,46.26,16.34,9.215,2.851,25.063,70.384,0,0,107.513,1.4,0.03,0.57,0.72,0,0.44
1998,Egypt,EGY,3.80473E+11,66200256,46.27,17.19,9.787,2.792,26.293,82.594,0,0,121.466,1.5,0.03,0.59,0.84,0,0.5
1999,Egypt,EGY,4.09778E+11,67515592,50.26,17.6,10.825,2.506,31.625,79.54,0,0,124.496,1.58,0.03,0.68,0.79,0,0.51
2000,Egypt,EGY,4.43941E+11,68831560,50.86,18.65,11.168,3.144,40.718,85.32,0,0,140.35,1.56,0.03,0.86,0.83,0,0.56
2001,Egypt,EGY,4.75163E+11,70152664,52.01,18.92,11.751,2.748,43.361,66.434,0,0,124.294,1.57,0.03,0.91,0.64,0,0.49
2002,Egypt,EGY,5.01186E+11,71485048,53.92,19.63,12.722,2.957,52.97,57.133,0,0,125.782,1.61,0.03,1.08,0.55,0,0.48
2003,Egypt,EGY,5.27963E+11,72826104,55.01,20.05,11.895,3.063,58.212,73.293,0,0,146.463,1.4,0.03,1.14,0.69,0,0.54
2004,Egypt,EGY,5.60813E+11,74172072,55.51,21.24,12.689,3.191,57.625,75.638,0,0,149.143,1.4,0.03,1.09,0.69,0,0.52
2005,Egypt,EGY,5.99347E+11,75523576,59.17,21.06,14.145,3.067,68.622,79.21,0,0,165.044,1.47,0.03,1.27,0.71,0,0.56
2006,Egypt,EGY,6.49072E+11,76873672,60.94,21.58,15.569,2.928,73.833,83.689,0,2.84E-14,176.019,1.49,0.02,1.34,0.75,0,0.58
2007,Egypt,EGY,7.11522E+11,78232128,63.15,21.92,17.1,2.917,81.128,84.763,0,0,185.907,1.52,0.02,1.42,0.75,0,0.59
2008,Egypt,EGY,7.72704E+11,79636080,64.85,22.99,16.195,2.854,83.31,92.404,0,0.001,194.764,1.42,0.02,1.42,0.82,0,0.61
2009,Egypt,EGY,8.28245E+11,81134792,63.57,23.72,19.973,2.689,81.788,98.719,0,0.001,203.17,1.71,0.02,1.42,0.9,0,0.64
2010,Egypt,EGY,8.95092E+11,82761240,62.71,24.15,20.514,4.126,81.948,94.255,0,0,200.841,1.64,0.03,1.32,0.83,0,0.6
2011,Egypt,EGY,9.19296E+11,84529248,64.93,24.19,20.098,1.7,92.679,98.549,0,0.001,213.027,1.5,0.01,1.45,0.87,0,0.62
2012,Egypt,EGY,9.45768E+11,86422240,67.26,23.26,20.971,1.803,92.919,93.025,0,0,208.718,1.52,0.01,1.43,0.81,0,0.6
2013,Egypt,EGY,9.71072E+11,88404648,65.77,22.75,20.21,1.7,90.4,94.639,0,2.84E-14,206.949,1.4,0.01,1.38,0.82,0,0.59
2014,Egypt,EGY,1.01861E+12,90424672,66.61,22.32,20.76,1.495,81.7,117.713,0,0,221.668,1.39,0.01,1.23,1.01,0,0.62
2015,Egypt,EGY,1.05864E+12,92442544,65.54,22.37,21.648,1.345,84.151,112.023,0,2.84E-14,219.167,1.51,0.01,1.24,0.94,0,0.62
2016,Egypt,EGY,1.10451E+12,94447072,67.96,22.9,22.82,1.608,94.824,114.87,0,0.001,234.123,1.54,0.01,1.36,0.96,0,0.66
2017,Egypt,EGY,1.15901E+12,96442592,69.79,22.83,21.77,1.392,108.407,119.036,0,0,250.605,1.45,0.01,1.52,0.98,0,0.7
2018,Egypt,EGY,1.22183E+12,98423600,70.55,22.59,21.002,1.085,102.698,102.936,0,0,227.721,1.34,0.01,1.38,0.84,0,0.62
1992,Estonia,EST,20260763648,1520811,2.31,1.57,0.315,17.736,1.607,4.63,0,0.067,24.355,0.06,0.21,0.04,0.05,0,0.11
1993,Estonia,EST,18240808960,1488060,2.09,1.43,0.228,13.568,0.803,4.784,0,0.021,19.404,0.04,0.16,0.02,0.05,0,0.09
1994,Estonia,EST,17654292480,1457090,1.79,1.3,0.33,14.113,1.119,4.455,0,0.019,20.036,0.06,0.16,0.03,0.05,0,0.09
1995,Estonia,EST,18507421696,1433026,1.73,1.23,0.348,13.071,1.289,3.485,0,0.02,18.213,0.06,0.15,0.03,0.04,0,0.08
1996,Estonia,EST,19179796480,1417741,1.67,1.2,0.361,13.572,1.422,3.759,0,0.02,19.134,0.06,0.15,0.03,0.04,0,0.08
1997,Estonia,EST,21099665408,1409678,1.63,1.19,0.396,13.168,1.393,3.664,0,0.024,18.645,0.06,0.15,0.03,0.04,0,0.08
1998,Estonia,EST,21616367616,1406350,1.57,1.22,0.404,11.495,1.334,3.627,0,0.057,16.917,0.06,0.13,0.03,0.04,0,0.07
1999,Estonia,EST,21088651264,1403784,1.52,1.2,0.361,10.896,1.296,3.307,0,0.052,15.912,0.05,0.13,0.03,0.03,0,0.06
2000,Estonia,EST,22945026048,1399111,1.47,1.22,0.374,10.848,1.503,2.715,0,0.045,15.485,0.05,0.12,0.03,0.03,0,0.06
2001,Estonia,EST,24006164480,1391739,1.45,1.2,0.38,10.665,1.611,3.161,0,0.049,15.866,0.05,0.12,0.03,0.03,0,0.06
2002,Estonia,EST,25057701888,1382737,1.44,1.19,0.356,10.369,1.36,3.21,0,0.054,15.349,0.05,0.11,0.03,0.03,0,0.06
2003,Estonia,EST,26485059584,1372904,1.4,1.23,0.335,12.146,1.547,3.152,0,0.055,17.235,0.04,0.12,0.03,0.03,0,0.06
2004,Estonia,EST,27701385216,1363570,1.41,1.25,0.365,12.055,1.742,3.156,0,0.05,17.368,0.04,0.11,0.03,0.03,0,0.06
2005,Estonia,EST,29813616640,1355650,1.35,1.23,0.373,11.804,1.741,3.19,0,0.048,17.156,0.04,0.1,0.03,0.03,0,0.06
2006,Estonia,EST,32350019584,1349373,1.34,1.23,0.414,11.096,1.729,3.211,0,0.052,16.502,0.04,0.09,0.03,0.03,0,0.05
2007,Estonia,EST,34297835520,1344295,1.33,1.28,0.597,14.318,1.737,3.317,0,0.053,20.022,0.05,0.11,0.03,0.03,0,0.06
2008,Estonia,EST,31920816128,1340067,1.31,1.34,0.603,12.376,1.682,3.168,0,0.046,17.875,0.05,0.09,0.03,0.03,0,0.06
2009,Estonia,EST,26784890880,1336140,1.27,1.28,0.257,10.075,1.224,2.907,0,0.026,14.489,0.02,0.08,0.02,0.03,0,0.05
2010,Estonia,EST,26952075264,1332103,1.29,1.31,0.31,14.267,1.328,3.052,0,0.038,18.995,0.02,0.1,0.02,0.03,0,0.06
2011,Estonia,EST,28535476224,1327701,1.23,1.32,0.416,14.287,1.19,3.157,0,0.041,19.091,0.03,0.1,0.02,0.03,0,0.06
2012,Estonia,EST,29763610624,1323163,1.23,1.35,0.407,12.647,1.275,3.249,0,0.268,17.846,0.03,0.08,0.02,0.03,0,0.05
2013,Estonia,EST,30185959424,1319068,1.2,1.37,0.399,14.569,1.212,3.256,0,0.302,19.738,0.03,0.1,0.02,0.03,0,0.06
2014,Estonia,EST,31037874176,1316273,1.19,1.4,0.422,14.083,1.022,3.307,0,0.051,18.885,0.03,0.09,0.02,0.03,0,0.05
2015,Estonia,EST,31485411328,1315330,1.18,1.42,0.206,11.269,0.915,3.403,0,0.066,15.859,0.01,0.08,0.01,0.03,0,0.04
2016,Estonia,EST,31962619904,1316507,1.1,1.36,0.185,12.751,1.052,3.513,0,0.066,17.567,0.01,0.09,0.02,0.03,0,0.05
2017,Estonia,EST,33800136704,1319389,1.11,1.4,0.307,13.879,0.95,3.569,0,0.083,18.788,0.02,0.1,0.01,0.03,0,0.05
2018,Estonia,EST,35409424384,1322913,1.11,1.39,0.298,13.088,0.987,3.487,0,0.085,17.945,0.02,0.09,0.01,0.03,0,0.05
1992,Finland,FIN,1.22116E+11,5044928,8.4,5.74,0.473,20.678,5.575,26.673,0.11,0.775,54.284,0.09,0.25,0.14,0.29,0.05,0.24
1993,Finland,FIN,1.2131E+11,5071782,8.37,5.83,0.361,23.401,5.822,25.639,0.157,0.968,56.348,0.06,0.27,0.14,0.28,0.07,0.25
1994,Finland,FIN,1.26179E+11,5097090,8.3,6.02,0.364,27.593,6.295,26.385,0.066,1.008,61.711,0.06,0.32,0.15,0.29,0.03,0.27
1995,Finland,FIN,1.31585E+11,5119012,8.08,6,0.378,24.657,6.509,25.616,0.075,0.905,58.14,0.06,0.28,0.15,0.27,0.03,0.25
1996,Finland,FIN,1.36505E+11,5136984,7.98,6,0.381,29.757,6.789,26.054,0.065,1.011,64.057,0.06,0.33,0.15,0.27,0.03,0.27
1997,Finland,FIN,1.45148E+11,5151740,7.86,6.04,0.45,28.497,6.646,26.038,0.103,0.985,62.719,0.07,0.32,0.15,0.27,0.04,0.26
1998,Finland,FIN,1.53138E+11,5164236,7.62,5.89,0.448,23.718,7.592,26.589,0.064,0.959,59.37,0.07,0.27,0.17,0.27,0.03,0.25
1999,Finland,FIN,1.60062E+11,5175921,7.42,5.9,0.479,23.036,7.571,26.747,0.055,1.004,58.892,0.07,0.26,0.16,0.27,0.02,0.24
2000,Finland,FIN,1.69209E+11,5187953,7.09,5.96,0.505,21.985,7.717,25.847,0.058,0.926,57.038,0.07,0.24,0.16,0.25,0.02,0.23
2001,Finland,FIN,1.73703E+11,5200475,6.93,5.86,0.504,26.125,8.388,26.467,0.053,0.999,62.536,0.07,0.29,0.18,0.26,0.02,0.25
2002,Finland,FIN,1.7675E+11,5213368,6.68,6.05,0.485,28.305,8.34,26.823,0.062,1.045,65.06,0.06,0.3,0.17,0.26,0.02,0.25
2003,Finland,FIN,1.80408E+11,5227106,6.44,6.07,0.467,35.015,9.227,26.93,0.056,0.963,72.658,0.06,0.34,0.18,0.25,0.02,0.27
2004,Finland,FIN,1.87632E+11,5242175,6.21,6.23,0.529,31.638,8.874,26.928,0.055,0.937,68.961,0.06,0.29,0.17,0.24,0.02,0.24
2005,Finland,FIN,1.92989E+11,5258933,5.92,6.44,0.542,21.034,8.119,26.359,0.07,0.923,57.047,0.06,0.18,0.15,0.24,0.02,0.19
2006,Finland,FIN,2.00964E+11,5277490,6.01,6.12,0.574,31.584,8.687,26.469,0.058,1.017,68.389,0.05,0.26,0.16,0.24,0.02,0.22
2007,Finland,FIN,2.11541E+11,5297741,5.82,6.31,0.605,30.347,8.118,26.65,0.081,0.964,66.765,0.05,0.24,0.14,0.24,0.02,0.21
2008,Finland,FIN,2.13225E+11,5319452,5.7,6.64,0.62,23.674,8.359,24.934,0.097,0.933,58.617,0.05,0.18,0.14,0.22,0.03,0.18
2009,Finland,FIN,1.95737E+11,5342266,5.58,5.52,0.385,22.894,7.499,24.222,0.075,0.862,55.937,0.03,0.18,0.13,0.22,0.02,0.18
2010,Finland,FIN,2.01743E+11,5365784,5.68,5.19,0.526,29.141,8.273,25.149,0.096,0.918,64.103,0.04,0.21,0.13,0.22,0.03,0.19
2011,Finland,FIN,2.07082E+11,5390036,5.48,4.75,0.558,24.07,7.253,23.8,0.088,0.898,56.667,0.04,0.16,0.11,0.21,0.02,0.16
2012,Finland,FIN,2.04128E+11,5414769,5.47,4.78,0.497,19.59,6.462,23.754,0.102,0.824,51.229,0.04,0.13,0.1,0.21,0.03,0.15
2013,Finland,FIN,2.0258E+11,5438984,5.34,4.88,0.482,21.36,6.07,22.853,0.079,0.884,51.728,0.03,0.14,0.09,0.2,0.02,0.15
2014,Finland,FIN,2.013E+11,5461410,5.21,4.98,0.469,19.31,5.403,21.594,0.084,0.785,47.645,0.03,0.13,0.08,0.19,0.02,0.13
2015,Finland,FIN,2.01844E+11,5481128,5.13,4.96,0.462,16.836,4.728,21.308,0.109,0.683,44.126,0.03,0.11,0.07,0.18,0.03,0.12
2016,Finland,FIN,2.0464E+11,5497714,5.02,4.88,0.553,18.641,4.219,22.916,0.104,0.796,47.229,0.04,0.13,0.06,0.19,0.03,0.13
2017,Finland,FIN,2.11331E+11,5511372,4.9,4.91,0.604,17.068,3.897,22.209,0.147,0.727,44.652,0.04,0.12,0.05,0.18,0.03,0.12
2018,Finland,FIN,2.14536E+11,5522585,4.75,4.94,0.602,17.913,4.42,22.155,0.091,0.668,45.849,0.04,0.12,0.06,0.18,0.02,0.13
1992,France,FRA,1.68286E+12,57147216,70.09,59.66,9.21,77.783,67.717,243.444,4.404,4.421,406.979,1.72,0.92,1.71,2.65,1.86,1.8
1993,France,FRA,1.67326E+12,57370376,70.23,59.9,8.456,62.974,67.985,239.558,4.203,4.491,387.667,1.52,0.74,1.67,2.6,1.8,1.7
1994,France,FRA,1.71324E+12,57587120,70.24,60.67,8.628,61.693,67.437,234.055,4.464,4.749,381.026,1.46,0.72,1.64,2.53,1.88,1.66
1995,France,FRA,1.74967E+12,57801888,70.75,61.5,8.487,62.843,68.595,236.788,4.345,4.917,385.975,1.35,0.71,1.63,2.54,1.85,1.65
1996,France,FRA,1.77469E+12,58012056,71.28,63.76,8.293,65.213,75.67,243.902,4.515,4.81,402.403,1.3,0.72,1.72,2.54,1.9,1.67
1997,France,FRA,1.81707E+12,58220656,70.47,63.13,7.967,61.191,74.98,241.629,4.46,5.018,395.245,1.21,0.68,1.7,2.48,1.84,1.63
1998,France,FRA,1.88261E+12,58444248,70.71,55.95,8.532,71.185,76.81,247.937,4.378,5.064,413.906,1.3,0.81,1.71,2.52,1.89,1.71
1999,France,FRA,1.95026E+12,58704384,70.83,51.23,8.231,66.279,80.507,247.529,4.071,4.927,411.544,1.2,0.76,1.74,2.46,1.82,1.68
2000,France,FRA,2.03195E+12,59015092,73.13,49.1,8.395,65.576,84.029,238.851,4.213,4.837,405.901,1.17,0.73,1.77,2.32,1.56,1.61
2001,France,FRA,2.07791E+12,59384124,73.41,49.85,8.482,56.032,88.274,248.92,4.175,4.65,410.533,1.13,0.62,1.85,2.4,1.54,1.61
2002,France,FRA,2.10729E+12,59803432,72.1,47.37,8.465,58.493,87.62,242.823,3.93,4.679,406.01,1.07,0.62,1.78,2.34,1.37,1.56
2003,France,FRA,2.13078E+12,60251588,70.98,47.25,8.38,59.117,91.185,244.72,3.891,4.653,411.946,0.99,0.58,1.79,2.29,1.35,1.51
2004,France,FRA,2.19657E+12,60697976,70.27,44.7,8.87,58.171,92.598,244.827,3.918,4.765,413.149,0.98,0.53,1.76,2.22,1.26,1.44
2005,France,FRA,2.23836E+12,61120128,69.58,43.53,8.906,61.992,94.211,241.967,3.92,4.522,415.518,0.93,0.54,1.75,2.18,1.18,1.4
2006,France,FRA,2.29644E+12,61508924,68.88,42.71,9.095,59.437,91.784,236.611,4.219,4.615,405.761,0.87,0.49,1.66,2.11,1.26,1.33
2007,France,FRA,2.35392E+12,61869232,69.08,43.79,9.251,61.339,88.79,226.955,4.515,4.578,395.428,0.82,0.48,1.56,2.02,1.3,1.26
2008,France,FRA,2.36154E+12,62209208,69.22,41.97,8.66,56.14,91.65,222.322,4.79,4.43,387.992,0.76,0.42,1.56,1.98,1.32,1.21
2009,France,FRA,2.29431E+12,62542884,68.02,39.78,7.473,45.182,90.131,217.444,4.506,3.895,368.631,0.64,0.35,1.56,1.98,1.23,1.17
2010,France,FRA,2.34129E+12,62879536,67.93,38.69,7.676,49.075,95.812,215.87,4.108,4.035,376.576,0.62,0.35,1.54,1.91,1.12,1.13
2011,France,FRA,2.39185E+12,63222232,65.52,36.74,7.835,41.909,87.516,208.338,3.877,4.26,353.735,0.58,0.28,1.37,1.84,1.09,1.03
2012,France,FRA,2.3954E+12,63564224,64.96,37.33,7.291,46.53,90.326,204.318,3.307,4.16,355.932,0.53,0.31,1.39,1.78,0.91,1.02
2013,France,FRA,2.4157E+12,63893520,64.85,38.28,7.099,49.317,91.071,202.678,3.05,4.322,357.537,0.49,0.33,1.39,1.75,0.82,1.01
2014,France,FRA,2.42445E+12,64193552,63.7,38.54,6.765,39.107,75.915,196.893,2.957,4.249,325.886,0.45,0.26,1.14,1.69,0.78,0.92
2015,France,FRA,2.45307E+12,64453196,63.12,39.15,6.407,37.618,80.972,198.025,2.857,4.031,329.91,0.45,0.26,1.19,1.67,0.77,0.93
2016,France,FRA,2.47939E+12,64667588,62.2,37.65,6.437,35.683,88.66,196.115,2.868,3.816,333.579,0.44,0.25,1.27,1.64,0.74,0.94
2017,France,FRA,2.5362E+12,64842512,61.34,38.66,6.291,39.68,88.818,195.622,2.816,3.769,336.996,0.42,0.27,1.25,1.61,0.67,0.94
2018,France,FRA,2.58167E+12,64990512,60.56,38.12,6.496,34.867,84.468,189.587,2.906,4.048,322.372,0.41,0.24,1.13,1.56,0.7,0.88
1992,Gabon,GAB,7946244608,1002573,6.35,0.36,0.047,0,0.198,1.037,3.635,0,4.917,0.01,0,0,0.01,1.53,0.02
1993,Gabon,GAB,8684691456,1029769,6.54,0.36,0.054,0,0.205,1.081,3.635,0,4.975,0.01,0,0.01,0.01,1.56,0.02
1994,Gabon,GAB,9485824000,1057252,7.33,0.36,0.051,0,0.194,0.707,3.422,0.001,4.375,0.01,0,0,0.01,1.44,0.02
1995,Gabon,GAB,10240901120,1084951,7.92,0.35,0.063,0,0.257,0.862,3.425,0,4.606,0.01,0,0.01,0.01,1.46,0.02
1996,Gabon,GAB,11022736384,1112944,8.31,0.31,0.075,0,0.242,1.015,3.422,0,4.754,0.01,0,0.01,0.01,1.44,0.02
1997,Gabon,GAB,12163996672,1141332,8.3,0.32,0.081,0,0.249,1.022,3.422,0.001,4.775,0.01,0,0.01,0.01,1.41,0.02
1998,Gabon,GAB,13062146048,1170061,8.53,0.33,0.079,0,0.231,1.221,3.425,8.88E-16,4.956,0.01,0,0.01,0.01,1.48,0.02
1999,Gabon,GAB,12170608640,1199058,7.84,0.34,0.073,0,0.231,1.06,3.425,0,4.788,0.01,0,0,0.01,1.53,0.02
2000,Gabon,GAB,12538006528,1228359,7.29,0.34,0.085,0,0.234,1.041,3.309,0,4.669,0.01,0,0,0.01,1.23,0.02
2001,Gabon,GAB,13408100352,1258008,7.22,0.33,0.097,0,0.245,1.257,3.173,0,4.772,0.01,0,0.01,0.01,1.17,0.02
2002,Gabon,GAB,13745928192,1288310,6.83,0.38,0.103,0,0.256,1.183,3.001,0.001,4.544,0.01,0,0.01,0.01,1.05,0.02
2003,Gabon,GAB,14717086720,1319946,7.49,0.42,0.104,0,0.271,1.159,3.08,0,4.614,0.01,0,0.01,0.01,1.07,0.02
2004,Gabon,GAB,15597621248,1353788,7.36,0.52,0.103,0,0.267,1.212,3.075,0.001,4.658,0.01,0,0.01,0.01,0.99,0.02
2005,Gabon,GAB,16662218752,1390550,7.11,0.48,0.103,0,0.278,1.4,3.078,0,4.859,0.01,0,0.01,0.01,0.93,0.02
2006,Gabon,GAB,17083860992,1430144,6.43,0.54,0.102,0,0.289,1.444,2.308,0,4.143,0.01,0,0.01,0.01,0.69,0.01
2007,Gabon,GAB,19294894080,1472565,6.18,0.54,0.089,0,0.311,1.576,2.114,0,4.09,0.01,0,0.01,0.01,0.61,0.01
2008,Gabon,GAB,19821185024,1518538,6.45,0.61,0.088,0,0.348,1.612,2.114,0.001,4.163,0.01,0,0.01,0.01,0.58,0.01
2009,Gabon,GAB,21001807872,1568925,6.21,0.55,0.096,0,0.462,1.559,2.116,0,4.233,0.01,0,0.01,0.01,0.58,0.01
2010,Gabon,GAB,23885381632,1624146,6.45,0.59,0.086,0,0.619,1.964,2.114,8.88E-16,4.783,0.01,0,0.01,0.02,0.58,0.01
2011,Gabon,GAB,27165933568,1684629,6.35,0.6,0.086,0,0.696,2.198,1.949,0.001,4.93,0.01,0,0.01,0.02,0.55,0.01
2012,Gabon,GAB,29020540928,1749677,6.07,0.55,0.076,0,0.714,2.312,1.931,0.001,5.034,0.01,0,0.01,0.02,0.53,0.01
2013,Gabon,GAB,31179700224,1817070,5.93,0.65,0.066,0,0.703,2.587,1.913,0,5.269,0,0,0.01,0.02,0.52,0.01
2014,Gabon,GAB,33268465664,1883801,6.05,0.59,0.07,0,1.019,2.501,1.727,8.88E-16,5.317,0,0,0.02,0.02,0.45,0.01
2015,Gabon,GAB,35035176960,1947690,6.23,0.62,0.077,0,1.019,2.448,1.726,0,5.269,0.01,0,0.02,0.02,0.46,0.01
2016,Gabon,GAB,36204781568,2007882,6.21,0.64,0.136,0,1.022,2.557,1.726,0,5.441,0.01,0,0.01,0.02,0.45,0.02
2017,Gabon,GAB,36385443840,2064812,5.72,0.67,0.132,0,0.905,2.081,1.48,0,4.598,0.01,0,0.01,0.02,0.35,0.01
2018,Gabon,GAB,36693262336,2119275,5.4,0.6,0.19,0,0.879,2.063,1.627,0,4.759,0.01,0,0.01,0.02,0.39,0.01
1992,Georgia,GEO,28371175424,5303925,10.53,2.05,0.203,0.968,9.06,5.047,0,0,15.277,0.04,0.01,0.23,0.05,0,0.07
1993,Georgia,GEO,19963488256,5208954,9.27,1.76,0.122,0.638,6.896,2.261,0,0,9.916,0.02,0.01,0.17,0.02,0,0.04
1994,Georgia,GEO,17806233600,5097126,8.08,1.44,0.041,0.337,4.573,1.118,0,0,6.068,0.01,0,0.11,0.01,0,0.03
1995,Georgia,GEO,18187137024,4976252,7.34,1.36,0.041,0.157,1.686,0.406,0,0,2.29,0.01,0,0.04,0,0,0.01
1996,Georgia,GEO,19998451712,4846627,7.51,1.48,0.034,0.161,1.451,2.407,0,0.001,4.054,0.01,0,0.03,0.03,0,0.02
1997,Georgia,GEO,22010931200,4709596,7.46,1.55,0.037,0.029,1.751,2.609,0,8.88E-16,4.426,0.01,0,0.04,0.03,0,0.02
1998,Georgia,GEO,22536785920,4575396,7.45,1.6,0.081,0.077,1.745,3.036,0,0,4.939,0.01,0,0.04,0.03,0,0.02
1999,Georgia,GEO,23091363840,4456652,7.51,1.74,0.138,0.062,1.578,2.533,0,0,4.311,0.02,0,0.03,0.03,0,0.02
2000,Georgia,GEO,23550461952,4362184,7.58,1.82,0.14,0.059,2.18,2.121,0,0,4.5,0.02,0,0.05,0.02,0,0.02
2001,Georgia,GEO,24543610880,4296981,6.59,1.61,0.134,0.055,1.859,1.676,0.007,0.001,3.732,0.02,0,0.04,0.02,0,0.01
2002,Georgia,GEO,25794070528,4258573,6.58,1.61,0.139,0.055,1.554,1.601,0.004,0,3.352,0.02,0,0.03,0.02,0,0.01
2003,Georgia,GEO,28539744256,4238930,6.93,1.58,0.137,0.114,1.766,1.715,0.004,0,3.735,0.02,0,0.03,0.02,0,0.01
