,Year,Country.Name,Country.Code,Country.GDP,Country.Population,Emissions.Production.CH4,Emissions.Production.N2O,Emissions.Production.CO2.Cement,Emissions.Production.CO2.Coal,Emissions.Production.CO2.Gas,Emissions.Production.CO2.Oil,Emissions.Production.CO2.Flaring,Emissions.Production.CO2.Other,Emissions.Production.CO2.Total,Emissions.Global Share.CO2.Cement,Emissions.Global Share.CO2.Coal,Emissions.Global Share.CO2.Gas,Emissions.Global Share.CO2.Oil,Emissions.Global Share.CO2.Flaring,Emissions.Global Share.CO2.Total,Country_Year
482,2015,Chile,CHL,386429000000.0,17969356,10.85,7.12,1.033,27.167,9.112,44.351,0.161,0.0,81.824,0.07,0.18,0.13,0.37,0.04,0.23,Chile_2015
483,2016,Chile,CHL,392579000000.0,18209072,10.96,6.56,1.12,27.007,9.951,46.064,0.249,0.001,84.392,0.08,0.19,0.14,0.39,0.06,0.24,Chile_2016
484,2017,Chile,CHL,397188000000.0,18470436,11.64,7.21,0.866,27.74,9.944,45.467,0.029,1.42e-14,84.046,0.06,0.19,0.14,0.37,0.01,0.23,Chile_2017
485,2018,Chile,CHL,412834000000.0,18729166,11.43,6.61,0.782,27.049,9.981,46.568,0.029,1.42e-14,84.409,0.05,0.18,0.13,0.38,0.01,0.23,Chile_2018
487,1993,China,CHN,4126170000000.0,1218817024,790.54,301.41,142.774,2228.745,35.728,428.549,0.0,85.855,2921.651,25.68,26.13,0.88,4.66,0.0,12.81,China_1993
488,1994,China,CHN,4438750000000.0,1230019968,812.96,314.95,164.377,2380.586,41.568,423.712,0.0,89.759,3100.002,27.74,27.75,1.01,4.59,0.0,13.5,China_1994
489,1995,China,CHN,4810000000000.0,1240920448,850.31,358.59,184.637,2569.754,42.436,468.23,0.0,92.852,3357.909,29.47,29.13,1.01,5.02,0.0,14.32,China_1995
490,1996,China,CHN,5127590000000.0,1251636096,858.79,384.61,192.853,2660.401,44.47,510.622,0.0,94.888,3503.234,30.18,29.4,1.01,5.31,0.0,14.5,China_1996
492,1998,China,CHN,5338700000000.0,1271982336,815.85,365.59,211.369,2444.771,50.501,559.262,0.0,94.552,3360.455,32.3,27.9,1.12,5.68,0.0,13.88,China_1998
493,1999,China,CHN,5578500000000.0,1281514880,810.42,381.21,228.322,2378.49,54.572,596.751,0.0,92.205,3350.34,33.33,27.36,1.18,5.92,0.0,13.66,China_1999
494,2000,China,CHN,5952680000000.0,1290550784,810.19,376.06,244.388,2396.426,59.796,648.685,0.0,89.857,3439.152,34.05,26.59,1.26,6.31,0.0,13.63,China_2000
495,2001,China,CHN,6329740000000.0,1299129728,802.87,378.28,270.828,2428.857,67.158,659.301,0.0,88.79,3514.934,36.21,26.8,1.4,6.36,0.0,13.81,China_2001
497,2003,China,CHN,7248620000000.0,1315303552,821.23,401.56,345.186,3319.28,60.745,727.099,0.0,92.704,4545.014,40.72,32.38,1.19,6.82,0.0,16.61,China_2003
498,2004,China,CHN,7830950000000.0,1323084672,867.68,417.36,379.992,3835.288,71.521,839.093,0.0,97.861,5223.755,41.9,35.2,1.36,7.62,0.0,18.25,China_2004
499,2005,China,CHN,8602940000000.0,1330776320,905.26,427.61,411.649,4424.39,84.957,850.173,0.0,105.386,5876.555,42.87,38.24,1.58,7.66,0.0,19.85,China_2005
503,2009,China,CHN,11572500000000.0,1361169408,1024.1,476.12,583.56,6028.5,164.404,982.348,0.0,127.721,7886.533,49.86,46.13,2.85,8.93,0.0,24.95,China_2009
504,2010,China,CHN,12858800000000.0,1368810624,1073.15,488.57,639.592,6568.793,199.585,1092.572,0.0,116.11,8616.652,51.26,47.02,3.22,9.66,0.0,25.84,China_2010
506,2012,China,CHN,14358100000000.0,1384206336,1122.85,509.57,714.782,7464.807,277.599,1176.712,0.0,141.722,9775.622,51.88,49.93,4.27,10.23,0.0,27.95,China_2012
507,2013,China,CHN,15304400000000.0,1391883392,1147.21,522.8,748.323,7493.455,320.127,1234.622,0.0,156.217,9952.744,52.01,49.81,4.89,10.66,0.0,28.21,China_2013
508,2014,China,CHN,16220900000000.0,1399453952,1161.42,534.42,778.627,7425.069,353.591,1263.073,0.0,165.223,9985.583,52.12,49.29,5.31,10.86,0.0,28.1,China_2014
509,2015,China,CHN,16710900000000.0,1406847872,1159.87,549.62,721.995,7266.979,366.649,1327.578,0.0,165.219,9848.42,50.23,49.37,5.4,11.17,0.0,27.74,China_2015
510,2016,China,CHN,17255500000000.0,1414049408,1120.35,552.67,743.044,7071.406,402.762,1335.304,0.0,167.928,9720.444,50.25,49.24,5.78,11.17,0.0,27.42,China_2016
512,2018,China,CHN,18151600000000.0,1427647744,1159.28,545.19,786.745,7316.4,519.834,1495.473,0.0,171.537,10289.989,50.22,49.71,6.97,12.27,0.0,28.08,China_2018
513,1992,Colombia,COL,270672000000.0,34422568,57.29,18.22,2.889,13.667,8.365,35.651,0.923,0.0,61.495,0.54,0.16,0.21,0.39,0.39,0.27,Colombia_1992
515,1994,Colombia,COL,300755000000.0,35758976,59.79,18.79,3.92,13.612,8.977,39.56,0.722,0.0,66.791,0.66,0.16,0.22,0.43,0.3,0.29,Colombia_1994
516,1995,Colombia,COL,316299000000.0,36421436,61.18,18.87,3.896,14.136,8.295,31.793,0.656,0.0,58.775,0.62,0.16,0.2,0.34,0.28,0.25,Colombia_1995
517,1996,Colombia,COL,322722000000.0,37076388,62.15,18.56,3.73,12.513,10.234,32.577,0.718,0.0,59.771,0.58,0.14,0.23,0.34,0.3,0.25,Colombia_1996
520,1999,Colombia,COL,321381000000.0,38999468,61.83,18.25,2.879,9.684,11.201,30.393,0.605,0.0,54.761,0.42,0.11,0.24,0.3,0.27,0.22,Colombia_1999
523,2002,Colombia,COL,344483000000.0,40875364,62.51,19.42,3.105,9.267,13.246,28.724,1.088,7.11e-15,55.43,0.39,0.1,0.27,0.28,0.38,0.21,Colombia_2002
524,2003,Colombia,COL,357898000000.0,41483872,63.91,20.24,3.376,10.406,12.681,29.645,0.986,7.11e-15,57.094,0.4,0.1,0.25,0.28,0.34,0.21,Colombia_2003
525,2004,Colombia,COL,376906000000.0,42075952,64.98,20.77,3.442,7.281,13.349,29.527,0.971,0.0,54.569,0.38,0.07,0.25,0.27,0.31,0.19,Colombia_2004
526,2005,Colombia,COL,394524000000.0,42647732,65.03,20.79,4.125,10.234,14.007,30.939,0.755,0.0,60.06,0.43,0.09,0.26,0.28,0.23,0.2,Colombia_2005
527,2006,Colombia,COL,420867000000.0,43200904,65.4,21.33,4.117,9.351,14.033,33.973,0.531,7.11e-15,62.005,0.39,0.08,0.25,0.3,0.16,0.2,Colombia_2006
528,2007,Colombia,COL,449787000000.0,43737512,67.35,23.1,4.541,8.053,14.033,33.02,0.531,0.001,60.179,0.4,0.06,0.25,0.29,0.15,0.19,Colombia_2007
529,2008,Colombia,COL,465646000000.0,44254972,68.24,22.06,4.439,10.768,17.518,33.441,0.484,1.42e-14,66.65,0.39,0.08,0.3,0.3,0.13,0.21,Colombia_2008
530,2009,Colombia,COL,473234000000.0,44750056,69.26,22.21,3.93,11.802,20.097,35.735,0.993,0.0,72.557,0.34,0.09,0.35,0.32,0.27,0.23,Colombia_2009
532,2011,Colombia,COL,524201000000.0,45662748,70.58,22.09,4.588,13.785,21.051,35.341,1.315,1.42e-14,76.08,0.34,0.09,0.33,0.31,0.37,0.22,Colombia_2011
533,2012,Colombia,COL,545385000000.0,46075724,68.93,21.63,5.051,11.541,22.899,38.914,1.323,0.0,79.727,0.37,0.08,0.35,0.34,0.36,0.23,Colombia_2012
534,2013,Colombia,COL,571947000000.0,46495492,69.67,20.31,4.79,17.803,22.339,41.509,0.986,0.001,87.428,0.33,0.12,0.34,0.36,0.27,0.25,Colombia_2013
537,2016,Colombia,COL,627381000000.0,48175048,69.75,20.71,5.324,19.427,21.944,45.544,1.004,0.0,93.242,0.36,0.14,0.31,0.38,0.26,0.26,Colombia_2016
539,2018,Colombia,COL,651901000000.0,49661056,74.5,23.07,5.306,13.235,23.447,41.933,0.96,1.42e-14,84.881,0.34,0.09,0.31,0.34,0.23,0.23,Colombia_2018
540,1992,Croatia,HRV,40296484864.0,4732866,3.72,2.78,0.832,1.492,4.312,9.045,0.588,0.102,16.371,0.16,0.02,0.11,0.1,0.25,0.07,Croatia_1992
541,1993,Croatia,HRV,37941878784.0,4697537,3.67,2.31,0.687,1.209,4.732,9.283,0.786,0.111,16.808,0.12,0.01,0.12,0.1,0.34,0.07,Croatia_1993
542,1994,Croatia,HRV,41058422784.0,4657800,3.53,2.34,0.84,0.804,4.392,9.194,0.705,0.118,16.053,0.14,0.01,0.11,0.1,0.3,0.07,Croatia_1994
545,1997,Croatia,HRV,51344322560.0,4532405,3.37,2.64,0.806,1.069,4.546,11.229,0.762,0.145,18.557,0.12,0.01,0.1,0.12,0.31,0.08,Croatia_1997
546,1998,Croatia,HRV,53359112192.0,4491906,3.37,2.15,0.866,1.018,4.301,11.999,0.677,0.151,19.012,0.13,0.01,0.1,0.12,0.29,0.08,Croatia_1998
549,2001,Croatia,HRV,56076091392.0,4408073,3.38,2.21,1.45,1.907,4.851,11.616,0.762,0.197,20.783,0.19,0.02,0.1,0.11,0.28,0.08,Croatia_2001
550,2002,Croatia,HRV,59660337152.0,4395802,3.4,2.41,1.429,2.318,5.025,12.12,0.776,0.22,21.888,0.18,0.02,0.1,0.12,0.27,0.08,Croatia_2002
551,2003,Croatia,HRV,63955259392.0,4388909,3.51,2.3,1.433,2.6,4.905,13.327,0.729,0.22,23.214,0.17,0.03,0.1,0.12,0.25,0.08,Croatia_2003
552,2004,Croatia,HRV,67606573056.0,4383877,3.65,2.64,1.517,2.77,5.256,12.336,0.778,0.235,22.892,0.17,0.03,0.1,0.11,0.25,0.08,Croatia_2004
554,2006,Croatia,HRV,76142043136.0,4370782,3.75,2.92,1.642,2.555,5.06,13.215,0.766,0.316,23.554,0.16,0.02,0.09,0.12,0.23,0.08,Croatia_2006
556,2008,Croatia,HRV,84280721408.0,4352639,3.77,3.42,1.573,2.849,5.693,12.53,0.637,0.317,23.599,0.14,0.02,0.1,0.11,0.18,0.07,Croatia_2008
557,2009,Croatia,HRV,79251070976.0,4341261,3.82,2.24,1.25,2.029,5.256,12.483,0.574,0.217,21.809,0.11,0.02,0.09,0.11,0.16,0.07,Croatia_2009
558,2010,Croatia,HRV,79107170304.0,4328163,3.8,2.5,1.213,2.738,5.712,10.604,0.542,0.21,21.019,0.1,0.02,0.09,0.09,0.15,0.06,Croatia_2010
559,2011,Croatia,HRV,80079052800.0,4313098,3.82,2.64,1.086,2.794,5.564,10.458,0.559,0.191,20.652,0.08,0.02,0.09,0.09,0.16,0.06,Croatia_2011
560,2012,Croatia,HRV,78321270784.0,4295869,3.75,2.33,1.041,2.484,5.195,9.743,0.473,0.153,19.089,0.08,0.02,0.08,0.08,0.13,0.05,Croatia_2012
561,2013,Croatia,HRV,77479518208.0,4276593,3.65,1.73,1.141,2.678,4.912,9.108,0.453,0.144,18.436,0.08,0.02,0.07,0.08,0.12,0.05,Croatia_2013
563,2015,Croatia,HRV,78221434880.0,4232874,3.74,1.84,1.169,2.376,4.461,9.422,0.239,0.15,17.817,0.08,0.02,0.07,0.08,0.06,0.05,Croatia_2015
564,2016,Croatia,HRV,80230187008.0,4208611,3.75,1.61,1.077,2.561,4.729,9.373,0.208,0.135,18.083,0.07,0.02,0.07,0.08,0.05,0.05,Croatia_2016
565,2017,Croatia,HRV,82748776448.0,4182847,3.77,1.74,1.287,1.551,5.432,10.016,0.282,0.15,18.718,0.09,0.01,0.08,0.08,0.07,0.05,Croatia_2017
566,2018,Croatia,HRV,84978688000.0,4156407,3.67,1.74,1.211,1.449,5.042,9.589,0.255,0.152,17.698,0.08,0.01,0.07,0.08,0.06,0.05,Croatia_2018
567,1992,Cuba,CUB,36651618304.0,10736386,12.22,5.43,0.54,0.172,0.04,19.841,0.0,0.0,20.593,0.1,0.0,0.0,0.22,0.0,0.09,Cuba_1992
568,1993,Cuba,CUB,28833505280.0,10789312,11.27,4.57,0.517,0.22,0.044,19.042,0.0,0.0,19.823,0.09,0.0,0.0,0.21,0.0,0.09,Cuba_1993
569,1994,Cuba,CUB,29226991616.0,10838461,11.62,4.09,0.571,0.235,0.037,20.54,0.0,0.0,21.382,0.1,0.0,0.0,0.22,0.0,0.09,Cuba_1994
570,1995,Cuba,CUB,31242330112.0,10888246,11.41,4.01,0.727,0.216,0.033,21.859,0.0,0.0,22.835,0.12,0.0,0.0,0.23,0.0,0.1,Cuba_1995
572,1997,Cuba,CUB,37729136640.0,10989730,11.93,4.11,0.942,0.073,0.07,23.724,0.0,0.0,24.809,0.14,0.0,0.0,0.24,0.0,0.1,Cuba_1997
573,1998,Cuba,CUB,37789593600.0,11038706,11.94,3.98,0.855,0.088,0.231,23.12,0.0,0.0,24.294,0.13,0.0,0.01,0.23,0.0,0.1,Cuba_1998
575,2000,Cuba,CUB,44692111360.0,11126423,11.85,3.75,0.809,0.062,1.103,23.802,0.0,0.0,25.775,0.11,0.0,0.02,0.23,0.0,0.1,Cuba_2000
577,2002,Cuba,CUB,48976941056.0,11199664,11.79,3.59,0.982,0.066,1.121,23.354,0.0,0.001,25.524,0.12,0.0,0.02,0.23,0.0,0.1,Cuba_2002
578,2003,Cuba,CUB,50659545088.0,11229185,11.97,3.34,0.925,0.099,1.264,23.655,0.0,0.0,25.943,0.11,0.0,0.02,0.22,0.0,0.09,Cuba_2003
580,2005,Cuba,CUB,53114044416.0,11261586,10.79,3.23,1.066,0.018,1.425,21.933,0.0,0.0,24.442,0.11,0.0,0.03,0.2,0.0,0.08,Cuba_2005
581,2006,Cuba,CUB,61018247168.0,11261241,11.18,3.38,1.137,0.073,2.081,21.401,0.0,0.001,24.693,0.11,0.0,0.04,0.19,0.0,0.08,Cuba_2006
582,2007,Cuba,CUB,63463485440.0,11251117,11.26,3.44,1.164,0.073,2.338,20.665,0.0,0.0,24.24,0.1,0.0,0.04,0.18,0.0,0.08,Cuba_2007
583,2008,Cuba,CUB,67603095552.0,11236975,11.48,3.49,1.079,0.092,2.228,24.71,0.0,0.0,28.108,0.09,0.0,0.04,0.22,0.0,0.09,Cuba_2008
584,2009,Cuba,CUB,70355910656.0,11226711,12.09,3.42,1.023,0.088,2.217,25.069,0.0,0.0,28.396,0.09,0.0,0.04,0.23,0.0,0.09,Cuba_2009
585,2010,Cuba,CUB,74083581952.0,11225833,11.93,3.43,0.927,0.077,2.059,31.136,0.0,0.001,34.2,0.07,0.0,0.03,0.28,0.0,0.1,Cuba_2010
586,2011,Cuba,CUB,78036992000.0,11236671,12.27,3.66,0.94,0.011,1.957,26.523,0.0,0.0,29.431,0.07,0.0,0.03,0.23,0.0,0.09,Cuba_2011
587,2012,Cuba,CUB,80388153344.0,11257112,12.23,3.57,0.954,0.015,1.986,26.788,0.0,0.0,29.742,0.07,0.0,0.03,0.23,0.0,0.09,Cuba_2012
588,2013,Cuba,CUB,83013746688.0,11282722,12.27,3.69,0.921,0.037,2.045,25.021,0.0,0.0,28.024,0.06,0.0,0.03,0.22,0.0,0.08,Cuba_2013
589,2014,Cuba,CUB,85723463680.0,11306909,12.25,3.86,0.713,0.004,2.305,24.421,0.0,0.0,27.442,0.05,0.0,0.03,0.21,0.0,0.08,Cuba_2014
590,2015,Cuba,CUB,88467243008.0,11324777,11.77,3.79,0.67,0.022,2.389,26.231,0.0,0.0,29.311,0.05,0.0,0.04,0.22,0.0,0.08,Cuba_2015
591,2016,Cuba,CUB,89440002048.0,11335108,11.84,3.64,0.672,0.007,2.275,25.223,0.0,0.001,28.178,0.05,0.0,0.03,0.21,0.0,0.08,Cuba_2016
593,2018,Cuba,CUB,92551012352.0,11338146,11.45,3.55,0.716,0.015,1.861,20.016,0.0,0.001,22.609,0.05,0.0,0.02,0.16,0.0,0.06,Cuba_2018
594,1992,Cyprus,CYP,11898679296.0,800610,0.55,0.37,0.686,0.062,0.002,4.725,0.0,0.041,5.516,0.13,0.0,0.0,0.05,0.0,0.02,Cyprus_1992
595,1993,Cyprus,CYP,12093020160.0,818750,0.56,0.37,0.747,0.074,0.002,4.888,0.0,0.048,5.759,0.13,0.0,0.0,0.05,0.0,0.03,Cyprus_1993
596,1994,Cyprus,CYP,12925316096.0,837104,0.58,0.37,0.784,0.065,0.002,5.107,0.0,0.043,6.001,0.13,0.0,0.0,0.06,0.0,0.03,Cyprus_1994
597,1995,Cyprus,CYP,14339872768.0,855391,0.59,0.37,0.751,0.048,0.002,5.028,0.0,0.043,5.872,0.12,0.0,0.0,0.05,0.0,0.03,Cyprus_1995
598,1996,Cyprus,CYP,14666458112.0,873426,0.6,0.38,0.811,0.043,0.001,5.326,0.0,0.041,6.222,0.13,0.0,0.0,0.06,0.0,0.03,Cyprus_1996
599,1997,Cyprus,CYP,15182803968.0,891190,0.61,0.36,0.78,0.045,0.001,5.444,0.0,0.04,6.31,0.12,0.0,0.0,0.06,0.0,0.03,Cyprus_1997
600,1998,Cyprus,CYP,16126405632.0,908710,0.62,0.37,0.74,0.062,0.001,5.767,0.0,0.037,6.607,0.11,0.0,0.0,0.06,0.0,0.03,Cyprus_1998
601,1999,Cyprus,CYP,17062067200.0,926049,0.62,0.37,0.74,0.072,0.001,6.019,0.0,0.042,6.874,0.11,0.0,0.0,0.06,0.0,0.03,Cyprus_1999
602,2000,Cyprus,CYP,18206158848.0,943288,0.64,0.36,0.763,0.117,0.002,6.199,0.0,0.039,7.12,0.11,0.0,0.0,0.06,0.0,0.03,Cyprus_2000
603,2001,Cyprus,CYP,19037272064.0,960274,0.66,0.38,0.745,0.127,0.0,6.081,0.0,0.041,6.994,0.1,0.0,0.0,0.06,0.0,0.03,Cyprus_2001
604,2002,Cyprus,CYP,19867287552.0,976968,0.68,0.4,0.766,0.127,0.0,6.238,0.0,0.053,7.184,0.1,0.0,0.0,0.06,0.0,0.03,Cyprus_2002
605,2003,Cyprus,CYP,20548239360.0,993562,0.67,0.4,0.751,0.127,0.001,6.625,0.0,0.07,7.574,0.09,0.0,0.0,0.06,0.0,0.03,Cyprus_2003
606,2004,Cyprus,CYP,21687285760.0,1010410,0.67,0.39,0.808,0.137,0.001,6.777,0.0,0.078,7.801,0.09,0.0,0.0,0.06,0.0,0.03,Cyprus_2004
607,2005,Cyprus,CYP,22703857664.0,1027657,0.67,0.36,0.788,0.152,0.001,6.941,0.0,0.073,7.955,0.08,0.0,0.0,0.06,0.0,0.03,Cyprus_2005
608,2006,Cyprus,CYP,23948568576.0,1045508,0.67,0.36,0.821,0.151,0.001,7.128,0.0,0.082,8.183,0.08,0.0,0.0,0.06,0.0,0.03,Cyprus_2006
610,2008,Cyprus,CYP,26560141312.0,1081568,0.68,0.36,0.818,0.111,0.001,7.702,0.0,0.082,8.714,0.07,0.0,0.0,0.07,0.0,0.03,Cyprus_2008
614,2012,Cyprus,CYP,26403463168.0,1135046,0.69,0.38,0.505,0.001,0.001,6.732,0.0,0.023,7.262,0.04,0.0,0.0,0.06,0.0,0.02,Cyprus_2012
615,2013,Cyprus,CYP,24831176704.0,1143866,0.69,0.34,0.752,0.001,0.001,5.814,0.0,0.013,6.581,0.05,0.0,0.0,0.05,0.0,0.02,Cyprus_2013
616,2014,Cyprus,CYP,24451190784.0,1152297,0.7,0.34,0.974,0.009,0.0,5.954,0.0,0.013,6.95,0.07,0.0,0.0,0.05,0.0,0.02,Cyprus_2014
617,2015,Cyprus,CYP,24862126080.0,1160987,0.71,0.35,0.877,0.015,0.0,6.067,0.0,0.011,6.97,0.06,0.0,0.0,0.05,0.0,0.02,Cyprus_2015
618,2016,Cyprus,CYP,25590757376.0,1170189,0.73,0.35,0.883,0.002,0.0,6.474,0.0,0.014,7.373,0.06,0.0,0.0,0.05,0.0,0.02,Cyprus_2016
619,2017,Cyprus,CYP,26706794496.0,1179685,0.74,0.36,0.923,0.012,0.0,6.572,0.0,0.016,7.523,0.06,0.0,0.0,0.05,0.0,0.02,Cyprus_2017
620,2018,Cyprus,CYP,27790155776.0,1189262,0.74,0.36,0.848,0.054,0.0,6.418,0.0,0.02,7.34,0.05,0.0,0.0,0.05,0.0,0.02,Cyprus_2018
621,1992,Czechia,CZE,131887000000.0,10353021,20.66,5.95,2.468,105.754,13.634,21.218,0.396,1.147,144.617,0.46,1.25,0.34,0.23,0.17,0.64,Czechia_1992
623,1994,Czechia,CZE,139363000000.0,10360964,18.52,5.55,2.208,94.877,13.952,19.82,0.368,1.145,132.37,0.37,1.11,0.34,0.21,0.16,0.58,Czechia_1994
626,1997,Czechia,CZE,159287000000.0,10338346,17.4,5.49,2.083,90.827,18.432,17.593,0.345,1.445,130.725,0.32,1.01,0.42,0.18,0.14,0.54,Czechia_1997
627,1998,Czechia,CZE,160811000000.0,10323244,16.71,5.41,2.068,83.589,18.421,19.269,0.34,1.622,125.309,0.32,0.95,0.41,0.2,0.15,0.52,Czechia_1998
630,2001,Czechia,CZE,182135000000.0,10271019,14.68,5.87,1.629,84.827,19.297,19.141,0.332,1.798,127.024,0.22,0.94,0.4,0.18,0.12,0.5,Czechia_2001
631,2002,Czechia,CZE,187506000000.0,10252264,14.14,4.9,1.403,82.689,18.536,19.217,0.334,1.761,123.94,0.18,0.87,0.38,0.19,0.12,0.48,Czechia_2002
632,2003,Czechia,CZE,196739000000.0,10239131,14.07,4.99,1.485,83.939,18.968,20.939,0.323,1.759,127.413,0.18,0.82,0.37,0.2,0.11,0.47,Czechia_2003
635,2006,Czechia,CZE,244024000000.0,10298609,14.29,4.96,1.748,81.843,18.412,22.379,0.336,1.775,126.493,0.17,0.67,0.33,0.2,0.1,0.41,Czechia_2006
636,2007,Czechia,CZE,260810000000.0,10357535,13.82,4.99,2.043,83.596,17.456,23.044,0.303,1.865,128.307,0.18,0.65,0.31,0.2,0.09,0.41,Czechia_2007
637,2008,Czechia,CZE,271304000000.0,10425267,13.92,4.92,1.996,78.643,17.294,22.989,0.298,1.775,122.995,0.18,0.59,0.29,0.21,0.08,0.38,Czechia_2008
639,2010,Czechia,CZE,270895000000.0,10536514,13.82,4.55,1.469,74.689,18.394,21.149,0.267,1.635,117.603,0.12,0.53,0.3,0.19,0.07,0.35,Czechia_2010
640,2011,Czechia,CZE,279861000000.0,10566512,13.77,4.71,1.665,73.727,16.822,20.925,0.262,1.767,115.168,0.12,0.5,0.26,0.18,0.07,0.33,Czechia_2011
641,2012,Czechia,CZE,277621000000.0,10581302,13.62,5.14,1.517,70.732,16.622,20.467,0.266,1.685,111.289,0.11,0.47,0.26,0.18,0.07,0.32,Czechia_2012
642,2013,Czechia,CZE,276286000000.0,10586529,12.82,4.99,1.332,67.318,16.822,19.648,0.201,1.205,106.526,0.09,0.45,0.26,0.17,0.05,0.3,Czechia_2013
643,2014,Czechia,CZE,283781000000.0,10591104,12.76,5.1,1.483,65.367,15.106,20.703,0.203,1.233,104.095,0.1,0.43,0.23,0.18,0.05,0.29,Czechia_2014
644,2015,Czechia,CZE,296650000000.0,10601390,12.76,5.55,1.558,64.743,15.909,21.268,0.192,1.195,104.865,0.11,0.44,0.23,0.18,0.05,0.3,Czechia_2015
645,2016,Czechia,CZE,303851000000.0,10618868,12.47,5.58,1.698,65.231,17.008,21.291,0.159,1.298,106.685,0.11,0.45,0.24,0.18,0.04,0.3,Czechia_2016
646,2017,Czechia,CZE,317076000000.0,10641032,12.49,5.28,1.728,64.727,17.713,22.037,0.127,1.281,107.613,0.12,0.45,0.25,0.18,0.03,0.3,Czechia_2017
647,2018,Czechia,CZE,326100000000.0,10665679,12.41,5.14,1.868,64.035,16.641,22.12,0.104,1.364,106.132,0.12,0.44,0.22,0.18,0.03,0.29,Czechia_2018
648,1992,Denmark,DNK,158108000000.0,5171654,9.69,6.7,1.193,27.133,5.167,23.605,0.677,0.605,58.38,0.22,0.32,0.13,0.26,0.29,0.26,Denmark_1992
649,1993,Denmark,DNK,159030000000.0,5190745,9.84,6.74,1.206,28.451,5.851,23.981,0.582,0.555,60.626,0.22,0.33,0.14,0.26,0.25,0.27,Denmark_1993
651,1995,Denmark,DNK,174566000000.0,5232709,9.65,6.64,1.204,25.6,7.574,26.007,0.454,0.763,61.602,0.19,0.29,0.18,0.28,0.19,0.26,Denmark_1995
652,1996,Denmark,DNK,180658000000.0,5254857,9.73,6.59,1.282,35.137,8.909,28.345,0.498,0.681,74.852,0.2,0.39,0.2,0.3,0.21,0.31,Denmark_1996
653,1997,Denmark,DNK,187613000000.0,5277713,9.76,6.58,1.343,26.15,9.375,27.122,0.698,0.763,65.451,0.2,0.29,0.21,0.28,0.29,0.27,Denmark_1997
655,1999,Denmark,DNK,199693000000.0,5321771,9.72,6.44,1.355,18.672,10.711,26.24,1.107,0.55,58.635,0.2,0.21,0.23,0.26,0.49,0.24,Denmark_1999
656,2000,Denmark,DNK,208359000000.0,5341192,9.93,6.44,1.385,15.657,10.64,25.35,0.724,0.536,54.292,0.19,0.17,0.22,0.25,0.27,0.22,Denmark_2000
657,2001,Denmark,DNK,211275000000.0,5358059,10.13,6.26,1.388,16.558,11.105,25.59,0.771,0.467,55.879,0.19,0.18,0.23,0.25,0.28,0.22,Denmark_2001
659,2003,Denmark,DNK,215533000000.0,5386968,9.92,6.25,1.33,22.573,11.214,24.376,0.67,0.463,60.626,0.16,0.22,0.22,0.23,0.23,0.22,Denmark_2003
660,2004,Denmark,DNK,222551000000.0,5402754,9.86,5.54,1.459,17.281,11.154,24.048,0.752,0.382,55.076,0.16,0.16,0.21,0.22,0.24,0.19,Denmark_2004
662,2006,Denmark,DNK,239379000000.0,5444293,9.55,5.38,1.395,22.004,10.882,24.173,0.531,0.444,59.429,0.13,0.18,0.2,0.22,0.16,0.19,Denmark_2006
663,2007,Denmark,DNK,242933000000.0,5469920,9.48,5.35,1.407,18.42,9.738,24.117,0.544,0.43,54.656,0.13,0.14,0.17,0.21,0.16,0.17,Denmark_2007
664,2008,Denmark,DNK,243074000000.0,5497731,9.23,5.36,1.155,16.137,9.826,23.277,0.387,0.438,51.22,0.1,0.12,0.17,0.21,0.11,0.16,Denmark_2008
665,2009,Denmark,DNK,232469000000.0,5526389,8.88,5.07,0.764,15.786,9.412,22.258,0.261,0.335,48.816,0.07,0.12,0.16,0.2,0.07,0.15,Denmark_2009
666,2010,Denmark,DNK,238176000000.0,5554849,9.05,4.98,0.672,15.351,10.569,21.912,0.353,0.314,49.171,0.05,0.11,0.17,0.19,0.1,0.15,Denmark_2010
668,2012,Denmark,DNK,243290000000.0,5610909,8.56,5.0,0.871,10.079,8.414,19.92,0.217,0.339,39.84,0.06,0.07,0.13,0.17,0.06,0.11,Denmark_2012
669,2013,Denmark,DNK,245559000000.0,5638152,8.35,4.91,0.867,12.756,7.939,19.546,0.244,0.394,41.746,0.06,0.08,0.12,0.17,0.07,0.12,Denmark_2013
670,2014,Denmark,DNK,249674000000.0,5664199,8.2,5.09,0.887,10.144,6.816,19.05,0.25,0.396,37.543,0.06,0.07,0.1,0.16,0.07,0.11,Denmark_2014
671,2015,Denmark,DNK,253683000000.0,5688695,8.2,5.26,0.932,7.243,6.907,19.559,0.247,0.316,35.204,0.06,0.05,0.1,0.16,0.07,0.1,Denmark_2015
672,2016,Denmark,DNK,256822000000.0,5711346,8.15,5.24,1.095,8.414,7.012,19.842,0.273,0.375,37.011,0.07,0.06,0.1,0.17,0.07,0.1,Denmark_2016
673,2017,Denmark,DNK,262051000000.0,5732277,8.08,5.25,1.194,6.254,6.679,19.996,0.24,0.38,34.743,0.08,0.04,0.09,0.16,0.06,0.1,Denmark_2017
674,2018,Denmark,DNK,268318000000.0,5752131,7.95,4.88,1.16,6.359,6.476,20.042,0.232,0.403,34.672,0.07,0.04,0.09,0.16,0.06,0.09,Denmark_2018
